Date,Price,Open,High,Low,Volume,Change
2023-11-13,1950.2,1943.4,1953.5,1935.6,183700.0,0.65
2023-11-14,1966.5,1950.3,1975.3,1938.8,180740.0,0.84
2023-11-15,1964.3,1966.9,1979.2,1958.8,142920.0,-0.11
2023-11-16,1987.3,1963.0,1991.1,1959.0,186810.0,1.17
2023-11-17,1984.7,1984.2,1996.4,1981.1,133120.0,-0.13
2023-11-20,1980.3,1980.9,1987.8,1967.2,177890.0,-0.22
2023-11-21,2001.6,1980.0,2009.8,1979.9,230020.0,1.08
2023-11-22,1992.8,2000.3,2008.3,1988.6,199370.0,-0.44
2023-11-23,2003.0,1991.2,2004.5,1990.9,214880.0,0.51
2023-11-24,2003.0,1991.2,2004.5,1990.9,214880.0,0.0
2023-11-27,2012.4,2002.5,2018.9,2001.4,251250.0,0.47
2023-11-28,2040.0,2014.3,2044.1,2011.5,174670.0,1.37
2023-11-29,2057.5,2053.2,2062.3,2047.5,1910.0,0.86
2023-11-30,2047.6,2055.8,2057.5,2042.6,1150.0,-0.48
2023-12-01,2080.4,2049.0,2086.2,2043.4,2009.9999999999998,1.6
2023-12-04,2032.9,2083.4,2140.7,2030.0,2700.0,-2.28
2023-12-05,2026.9,2039.2,2050.0,2019.9,1420.0,-0.3
2023-12-06,2038.4,2028.3,2042.8,2027.0,680.0,0.57
2023-12-07,2036.9,2034.7,2047.3,2027.4,530.0,-0.07
2023-12-08,2004.9,2034.7,2039.6,2000.8,1370.0,-1.57
2023-12-11,1984.3,2010.6,2013.2,1982.1,550.0,-1.03
2023-12-12,1983.9,1989.0,2002.7,1983.5,570.0,-0.02
2023-12-13,1988.1,1985.5,2033.3,1979.0,2220.0,0.21
2023-12-14,2035.2,2031.6,2053.0,2030.6,560.0,2.37
2023-12-15,2026.0,2038.0,2049.6,2020.0,630.0,-0.45
2023-12-18,2030.9,2023.7,2036.3,2020.8,250.0,0.24
2023-12-19,2042.6,2031.0,2050.0,2025.4,470.0,0.58
2023-12-20,2038.1,2043.5,2045.9,2031.6,260.0,-0.22
2023-12-21,2041.8,2034.7,2048.0,2034.0,540.0,0.18
2023-12-22,2059.6,2051.5,2072.3,2049.4,440.0,0.87
2023-12-26,2060.4,2056.3,2069.6,2056.3,290.0,0.04
2023-12-27,2083.4,2068.0,2085.3,2063.3,590.0,1.12
2023-12-28,2083.5,2089.5,2098.2,2074.6,129539.99999999999,0.0
2023-12-29,2071.8,2076.1,2084.1,2067.6,105720.0,-0.56
